er_n,er,name,ss_25th_mmyr,ss_50th_mmyr,ss_75th_mmyr,notes
1,MRP,Maurepas,2.71,3.9,4.87,none
2,LPO,Lake_Pontchartrain,1.75,2.89,5,none
3,LBO,Lake_Borgne,1.94,3.08,4.93,none
4,CHS,Chandeleur_Sound,2.86,6.92,11.8,none
5,CHSbi,Chandeleur_Sound_barrier_islands,2.86,6.92,11.8,set to equal Chandeleur Sound (CHS)
6,UBR,Upper_Breton,3.7,6.5,9.26,none
7,LBR,Lower_Breton,5.27,6.64,7.66,none
8,LBRbi,Lower_Breton_barrier_islands,5.27,6.64,7.66,none
9,BFD,Birdsfoot_Delta,4.8,7.28,8.06,none
10,UBA,Upper_Barataria,1.12,2.38,6.77,"observed data combined for Upper and Mid Barataria (UBA,MBA)"
11,MBA,Mid_Barataria,1.12,2.38,6.76,"observed data combined for Upper and Mid Barataria (UBA,MBA)"
12,LBAnw,Lower_Barataria_northwest,2.46,3.85,5.49,"observed data combined for western Lower Barataria (LBAnw,LBAsw)"
13,LBAne,Lower_Barataria_northeast,0.74,2.7,4.81,none
14,LBAnebi,Lower_Barataria_northeast_barrier_islands,0.74,2.7,4.81,none
15,LBAsw,Lower_Barataria_southwest,2.46,3.85,5.49,"observed data combined for western Lower Barataria (LBAnw,LBAsw)"
16,LBAswbi,Lower_Barataria_southwest_barrier_islands,2.46,3.85,5.49,set to equal Lower Barataria - southwest (LBAsw)
17,LBAse,Lower_Barataria_southeast,5.78,6.56,8.65,none
18,LBAsebi,Lower_Barataria_southeast_barrier_islands,5.78,6.56,8.65,set to equal Lower Barataria - southeast (LBAse)
19,UVR,Upper_Verret_Basin,0,0,0,shallow subsidence not calculated for Verret Basin
20,VRT,Verret,0,0,0,shallow subsidence not calculated for Verret Basin
21,ETB,Eastern_Terrebonne,3,4.54,6.36,none
22,ETBbi,Eastern_Terrebonne_barrier_islands,3,4.54,6.36,set to equal Eastern Terrebone (ETB)
23,PEN,Penchant,3.17,5.59,6.32,none
24,WTE,Western_Terrebonne,2.04,4.33,8.45,none
25,WTEbi,Western_Terrebonne_barrier_islands,2.04,4.33,8.45,set to equal Western Terrebone (WTB)
26,ATB,Atchafalaya_Basin,0,0,0,shallow subsidence not calculated for Atch. Basin
27,ATD,Atchafalaya_Delta,5.38,7.21,8.07,none
28,TVB,Teche_Vermilion_Bays,4.22,5.5,6.51,none
29,MEL,Mermentau_Lakes,0.2,3.89,7.34,none
30,CHR,Chenier_Ridges,3.99,6.58,14.44,none
31,CAL,Calcasieu,0.62,1.02,2.46,none
32,SAB,Sabine,-0.64,1.09,4.38,none
33,-9999,-9999,-9999,-9999,-9999,none
